schedule_id	sequence_id	quartet_index	mode_position	seed	seed_assignment_id	split	intensity	pair_group_id	plan_id	mode_order	plan_path	plan_sha256
formal_t0_v3_sample0001	1	0	1	seed001	train001	train	light	seed001_light	formal_t0_v3_seed001_light	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed001_light_workload_plan.json	ead6a49d475c9bf8425c09fa590c9dd1bf65bfaa48819ee4780fdc34b4709329
formal_t0_v3_sample0002	2	0	2	seed001	train001	train	light	seed001_light	formal_t0_v3_seed001_light	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed001_light_workload_plan.json	ead6a49d475c9bf8425c09fa590c9dd1bf65bfaa48819ee4780fdc34b4709329
formal_t0_v3_sample0003	3	0	3	seed001	train001	train	light	seed001_light	formal_t0_v3_seed001_light	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed001_light_workload_plan.json	ead6a49d475c9bf8425c09fa590c9dd1bf65bfaa48819ee4780fdc34b4709329
formal_t0_v3_sample0004	4	0	4	seed001	train001	train	light	seed001_light	formal_t0_v3_seed001_light	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed001_light_workload_plan.json	ead6a49d475c9bf8425c09fa590c9dd1bf65bfaa48819ee4780fdc34b4709329
formal_t0_v3_sample0005	5	1	1	seed001	train001	train	medium	seed001_medium	formal_t0_v3_seed001_medium	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed001_medium_workload_plan.json	95cd7f225e58b52c3f32ad6d7797ac3a8d772c92da0a831cc1ef76013b12d540
formal_t0_v3_sample0006	6	1	2	seed001	train001	train	medium	seed001_medium	formal_t0_v3_seed001_medium	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed001_medium_workload_plan.json	95cd7f225e58b52c3f32ad6d7797ac3a8d772c92da0a831cc1ef76013b12d540
formal_t0_v3_sample0007	7	1	3	seed001	train001	train	medium	seed001_medium	formal_t0_v3_seed001_medium	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed001_medium_workload_plan.json	95cd7f225e58b52c3f32ad6d7797ac3a8d772c92da0a831cc1ef76013b12d540
formal_t0_v3_sample0008	8	1	4	seed001	train001	train	medium	seed001_medium	formal_t0_v3_seed001_medium	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed001_medium_workload_plan.json	95cd7f225e58b52c3f32ad6d7797ac3a8d772c92da0a831cc1ef76013b12d540
formal_t0_v3_sample0009	9	2	1	seed001	train001	train	heavy	seed001_heavy	formal_t0_v3_seed001_heavy	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed001_heavy_workload_plan.json	f9df0a783e270f8d4f61a8be67ef375be303693f5433be022a072379d7f86b92
formal_t0_v3_sample0010	10	2	2	seed001	train001	train	heavy	seed001_heavy	formal_t0_v3_seed001_heavy	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed001_heavy_workload_plan.json	f9df0a783e270f8d4f61a8be67ef375be303693f5433be022a072379d7f86b92
formal_t0_v3_sample0011	11	2	3	seed001	train001	train	heavy	seed001_heavy	formal_t0_v3_seed001_heavy	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed001_heavy_workload_plan.json	f9df0a783e270f8d4f61a8be67ef375be303693f5433be022a072379d7f86b92
formal_t0_v3_sample0012	12	2	4	seed001	train001	train	heavy	seed001_heavy	formal_t0_v3_seed001_heavy	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed001_heavy_workload_plan.json	f9df0a783e270f8d4f61a8be67ef375be303693f5433be022a072379d7f86b92
formal_t0_v3_sample0013	13	3	1	seed002	train002	train	light	seed002_light	formal_t0_v3_seed002_light	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed002_light_workload_plan.json	604608e65d6304f728e4a3fe35fe6b127553e9cc58ad8ff1106e228f72014b95
formal_t0_v3_sample0014	14	3	2	seed002	train002	train	light	seed002_light	formal_t0_v3_seed002_light	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed002_light_workload_plan.json	604608e65d6304f728e4a3fe35fe6b127553e9cc58ad8ff1106e228f72014b95
formal_t0_v3_sample0015	15	3	3	seed002	train002	train	light	seed002_light	formal_t0_v3_seed002_light	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed002_light_workload_plan.json	604608e65d6304f728e4a3fe35fe6b127553e9cc58ad8ff1106e228f72014b95
formal_t0_v3_sample0016	16	3	4	seed002	train002	train	light	seed002_light	formal_t0_v3_seed002_light	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed002_light_workload_plan.json	604608e65d6304f728e4a3fe35fe6b127553e9cc58ad8ff1106e228f72014b95
formal_t0_v3_sample0017	17	4	1	seed002	train002	train	medium	seed002_medium	formal_t0_v3_seed002_medium	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed002_medium_workload_plan.json	c564c0a86f603f36ecb436d952b189632a87fb26c44b6292706b187213765380
formal_t0_v3_sample0018	18	4	2	seed002	train002	train	medium	seed002_medium	formal_t0_v3_seed002_medium	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed002_medium_workload_plan.json	c564c0a86f603f36ecb436d952b189632a87fb26c44b6292706b187213765380
formal_t0_v3_sample0019	19	4	3	seed002	train002	train	medium	seed002_medium	formal_t0_v3_seed002_medium	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r2/seed002_medium_workload_plan.json	c564c0a86f603f36ecb436d952b189632a87fb26c44b6292706b187213765380
