schedule_id	sequence_id	quartet_index	mode_position	seed	seed_assignment_id	split	intensity	pair_group_id	plan_id	mode_order	plan_path	plan_sha256
formal_t0_v3_sample0001	1	0	1	seed001	train001	train	light	seed001_light	formal_t0_v3_seed001_light	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed001_light_workload_plan.json	7a93bc0984186b36e39a2fcc690321f77efb71c384d8b7a93ed36eecc199c88b
formal_t0_v3_sample0002	2	0	2	seed001	train001	train	light	seed001_light	formal_t0_v3_seed001_light	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed001_light_workload_plan.json	7a93bc0984186b36e39a2fcc690321f77efb71c384d8b7a93ed36eecc199c88b
formal_t0_v3_sample0003	3	0	3	seed001	train001	train	light	seed001_light	formal_t0_v3_seed001_light	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed001_light_workload_plan.json	7a93bc0984186b36e39a2fcc690321f77efb71c384d8b7a93ed36eecc199c88b
formal_t0_v3_sample0004	4	0	4	seed001	train001	train	light	seed001_light	formal_t0_v3_seed001_light	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed001_light_workload_plan.json	7a93bc0984186b36e39a2fcc690321f77efb71c384d8b7a93ed36eecc199c88b
formal_t0_v3_sample0005	5	1	1	seed001	train001	train	medium	seed001_medium	formal_t0_v3_seed001_medium	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed001_medium_workload_plan.json	49c3e7066dc9ea74b47eed1cf00670d03ea764affc153a01c388dea768727be2
formal_t0_v3_sample0006	6	1	2	seed001	train001	train	medium	seed001_medium	formal_t0_v3_seed001_medium	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed001_medium_workload_plan.json	49c3e7066dc9ea74b47eed1cf00670d03ea764affc153a01c388dea768727be2
formal_t0_v3_sample0007	7	1	3	seed001	train001	train	medium	seed001_medium	formal_t0_v3_seed001_medium	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed001_medium_workload_plan.json	49c3e7066dc9ea74b47eed1cf00670d03ea764affc153a01c388dea768727be2
formal_t0_v3_sample0008	8	1	4	seed001	train001	train	medium	seed001_medium	formal_t0_v3_seed001_medium	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed001_medium_workload_plan.json	49c3e7066dc9ea74b47eed1cf00670d03ea764affc153a01c388dea768727be2
formal_t0_v3_sample0009	9	2	1	seed001	train001	train	heavy	seed001_heavy	formal_t0_v3_seed001_heavy	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed001_heavy_workload_plan.json	3ce341d109b5bae358607969562d53e24ec71574fa44c32d19983e33da3a102e
formal_t0_v3_sample0010	10	2	2	seed001	train001	train	heavy	seed001_heavy	formal_t0_v3_seed001_heavy	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed001_heavy_workload_plan.json	3ce341d109b5bae358607969562d53e24ec71574fa44c32d19983e33da3a102e
formal_t0_v3_sample0011	11	2	3	seed001	train001	train	heavy	seed001_heavy	formal_t0_v3_seed001_heavy	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed001_heavy_workload_plan.json	3ce341d109b5bae358607969562d53e24ec71574fa44c32d19983e33da3a102e
formal_t0_v3_sample0012	12	2	4	seed001	train001	train	heavy	seed001_heavy	formal_t0_v3_seed001_heavy	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed001_heavy_workload_plan.json	3ce341d109b5bae358607969562d53e24ec71574fa44c32d19983e33da3a102e
formal_t0_v3_sample0013	13	3	1	seed002	train002	train	light	seed002_light	formal_t0_v3_seed002_light	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed002_light_workload_plan.json	1e1f6694fd1bec203d6f65bafd8d6083ba395ea422ccc4ed09e4a7fcf460358b
formal_t0_v3_sample0014	14	3	2	seed002	train002	train	light	seed002_light	formal_t0_v3_seed002_light	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed002_light_workload_plan.json	1e1f6694fd1bec203d6f65bafd8d6083ba395ea422ccc4ed09e4a7fcf460358b
formal_t0_v3_sample0015	15	3	3	seed002	train002	train	light	seed002_light	formal_t0_v3_seed002_light	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed002_light_workload_plan.json	1e1f6694fd1bec203d6f65bafd8d6083ba395ea422ccc4ed09e4a7fcf460358b
formal_t0_v3_sample0016	16	3	4	seed002	train002	train	light	seed002_light	formal_t0_v3_seed002_light	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed002_light_workload_plan.json	1e1f6694fd1bec203d6f65bafd8d6083ba395ea422ccc4ed09e4a7fcf460358b
formal_t0_v3_sample0017	17	4	1	seed002	train002	train	medium	seed002_medium	formal_t0_v3_seed002_medium	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed002_medium_workload_plan.json	d6e7e63187da7e75d43f1bc9daef3e1e02fcf50fe9d489ae88e78d55f86ab599
formal_t0_v3_sample0018	18	4	2	seed002	train002	train	medium	seed002_medium	formal_t0_v3_seed002_medium	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed002_medium_workload_plan.json	d6e7e63187da7e75d43f1bc9daef3e1e02fcf50fe9d489ae88e78d55f86ab599
formal_t0_v3_sample0019	19	4	3	seed002	train002	train	medium	seed002_medium	formal_t0_v3_seed002_medium	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed002_medium_workload_plan.json	d6e7e63187da7e75d43f1bc9daef3e1e02fcf50fe9d489ae88e78d55f86ab599
formal_t0_v3_sample0020	20	4	4	seed002	train002	train	medium	seed002_medium	formal_t0_v3_seed002_medium	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed002_medium_workload_plan.json	d6e7e63187da7e75d43f1bc9daef3e1e02fcf50fe9d489ae88e78d55f86ab599
formal_t0_v3_sample0021	21	5	1	seed002	train002	train	heavy	seed002_heavy	formal_t0_v3_seed002_heavy	vless	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed002_heavy_workload_plan.json	6c348c192d3e2b2e6846e47c0c660dde88bdcd5bf3b8bafa507f7ee752e65e14
formal_t0_v3_sample0022	22	5	2	seed002	train002	train	heavy	seed002_heavy	formal_t0_v3_seed002_heavy	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed002_heavy_workload_plan.json	6c348c192d3e2b2e6846e47c0c660dde88bdcd5bf3b8bafa507f7ee752e65e14
formal_t0_v3_sample0023	23	5	3	seed002	train002	train	heavy	seed002_heavy	formal_t0_v3_seed002_heavy	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed002_heavy_workload_plan.json	6c348c192d3e2b2e6846e47c0c660dde88bdcd5bf3b8bafa507f7ee752e65e14
formal_t0_v3_sample0024	24	5	4	seed002	train002	train	heavy	seed002_heavy	formal_t0_v3_seed002_heavy	direct	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed002_heavy_workload_plan.json	6c348c192d3e2b2e6846e47c0c660dde88bdcd5bf3b8bafa507f7ee752e65e14
formal_t0_v3_sample0025	25	6	1	seed003	train003	train	light	seed003_light	formal_t0_v3_seed003_light	shadowsocks	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed003_light_workload_plan.json	e1afd8c1b4987e5b4090ac4a487b13cd6fe98f6dfd7e2c2ef7d956bec5d3d49e
formal_t0_v3_sample0026	26	6	2	seed003	train003	train	light	seed003_light	formal_t0_v3_seed003_light	trojan	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed003_light_workload_plan.json	e1afd8c1b4987e5b4090ac4a487b13cd6fe98f6dfd7e2c2ef7d956bec5d3d49e
