plan_id	seed	seed_assignment_id	split	intensity	pair_group_id	plan_path	plan_sha256	domain_ids	domain_split	browser_version	playwright_version	generator_git_head	final_pool_sha256
formal_t0_v3_seed001_light	seed001	train001	train	light	seed001_light	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed001_light_workload_plan.json	7a93bc0984186b36e39a2fcc690321f77efb71c384d8b7a93ed36eecc199c88b	domain0184,domain0485	train	151.0.7922.34	1.62.0	0bcf2d260b8fa538b1f1e9cf1ac91c4975c18adf	9139aaa16f04c837272fa966729118f76d4f3693f2a2a1b60c63dadc14d38756
formal_t0_v3_seed001_medium	seed001	train001	train	medium	seed001_medium	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed001_medium_workload_plan.json	49c3e7066dc9ea74b47eed1cf00670d03ea764affc153a01c388dea768727be2	domain0288,domain0330,domain0117,domain0500	train	151.0.7922.34	1.62.0	0bcf2d260b8fa538b1f1e9cf1ac91c4975c18adf	9139aaa16f04c837272fa966729118f76d4f3693f2a2a1b60c63dadc14d38756
formal_t0_v3_seed001_heavy	seed001	train001	train	heavy	seed001_heavy	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed001_heavy_workload_plan.json	3ce341d109b5bae358607969562d53e24ec71574fa44c32d19983e33da3a102e	domain0229,domain0031,domain0005,domain0490,domain0348,domain0029	train	151.0.7922.34	1.62.0	0bcf2d260b8fa538b1f1e9cf1ac91c4975c18adf	9139aaa16f04c837272fa966729118f76d4f3693f2a2a1b60c63dadc14d38756
formal_t0_v3_seed002_light	seed002	train002	train	light	seed002_light	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed002_light_workload_plan.json	1e1f6694fd1bec203d6f65bafd8d6083ba395ea422ccc4ed09e4a7fcf460358b	domain0256,domain0011	train	151.0.7922.34	1.62.0	0bcf2d260b8fa538b1f1e9cf1ac91c4975c18adf	9139aaa16f04c837272fa966729118f76d4f3693f2a2a1b60c63dadc14d38756
formal_t0_v3_seed002_medium	seed002	train002	train	medium	seed002_medium	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed002_medium_workload_plan.json	d6e7e63187da7e75d43f1bc9daef3e1e02fcf50fe9d489ae88e78d55f86ab599	domain0341,domain0017,domain0216,domain0023	train	151.0.7922.34	1.62.0	0bcf2d260b8fa538b1f1e9cf1ac91c4975c18adf	9139aaa16f04c837272fa966729118f76d4f3693f2a2a1b60c63dadc14d38756
formal_t0_v3_seed002_heavy	seed002	train002	train	heavy	seed002_heavy	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed002_heavy_workload_plan.json	6c348c192d3e2b2e6846e47c0c660dde88bdcd5bf3b8bafa507f7ee752e65e14	domain0312,domain0387,domain0459,domain0131,domain0293,domain0231	train	151.0.7922.34	1.62.0	0bcf2d260b8fa538b1f1e9cf1ac91c4975c18adf	9139aaa16f04c837272fa966729118f76d4f3693f2a2a1b60c63dadc14d38756
formal_t0_v3_seed003_light	seed003	train003	train	light	seed003_light	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed003_light_workload_plan.json	e1afd8c1b4987e5b4090ac4a487b13cd6fe98f6dfd7e2c2ef7d956bec5d3d49e	domain0372,domain0478	train	151.0.7922.34	1.62.0	0bcf2d260b8fa538b1f1e9cf1ac91c4975c18adf	9139aaa16f04c837272fa966729118f76d4f3693f2a2a1b60c63dadc14d38756
formal_t0_v3_seed003_medium	seed003	train003	train	medium	seed003_medium	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed003_medium_workload_plan.json	532b0da112e3277af88b1937d4e63ce361f28468580387f7ae5534523b2d6368	domain0286,domain0492,domain0417,domain0365	train	151.0.7922.34	1.62.0	0bcf2d260b8fa538b1f1e9cf1ac91c4975c18adf	9139aaa16f04c837272fa966729118f76d4f3693f2a2a1b60c63dadc14d38756
formal_t0_v3_seed003_heavy	seed003	train003	train	heavy	seed003_heavy	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed003_heavy_workload_plan.json	d5d933afe12eb94613ac25409153a1424b904e0df531de6ce2c4f97b67e76c79	domain0363,domain0410,domain0262,domain0288,domain0403,domain0250	train	151.0.7922.34	1.62.0	0bcf2d260b8fa538b1f1e9cf1ac91c4975c18adf	9139aaa16f04c837272fa966729118f76d4f3693f2a2a1b60c63dadc14d38756
formal_t0_v3_seed004_light	seed004	train004	train	light	seed004_light	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed004_light_workload_plan.json	cc3b4e5d480a4a57b80eb440b8a8a6da80f745aa0996cd0bcc7668c8364f0644	domain0423,domain0450	train	151.0.7922.34	1.62.0	0bcf2d260b8fa538b1f1e9cf1ac91c4975c18adf	9139aaa16f04c837272fa966729118f76d4f3693f2a2a1b60c63dadc14d38756
formal_t0_v3_seed004_medium	seed004	train004	train	medium	seed004_medium	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed004_medium_workload_plan.json	77674e2d2f0fe552abf0ed0f60d00da9abdf3eb1a70eca2bd828bd67a632930e	domain0329,domain0016,domain0187,domain0225	train	151.0.7922.34	1.62.0	0bcf2d260b8fa538b1f1e9cf1ac91c4975c18adf	9139aaa16f04c837272fa966729118f76d4f3693f2a2a1b60c63dadc14d38756
formal_t0_v3_seed004_heavy	seed004	train004	train	heavy	seed004_heavy	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed004_heavy_workload_plan.json	72a069ec92151061f560a20fbe1d275317d274248e48a14403f700a98cef9056	domain0088,domain0190,domain0300,domain0120,domain0372,domain0231	train	151.0.7922.34	1.62.0	0bcf2d260b8fa538b1f1e9cf1ac91c4975c18adf	9139aaa16f04c837272fa966729118f76d4f3693f2a2a1b60c63dadc14d38756
formal_t0_v3_seed005_light	seed005	train005	train	light	seed005_light	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed005_light_workload_plan.json	5c5c00dada166e3fe18d98edc9be5ca700c867db16562c4fcd5e49bb4d2eae3b	domain0296,domain0144	train	151.0.7922.34	1.62.0	0bcf2d260b8fa538b1f1e9cf1ac91c4975c18adf	9139aaa16f04c837272fa966729118f76d4f3693f2a2a1b60c63dadc14d38756
formal_t0_v3_seed005_medium	seed005	train005	train	medium	seed005_medium	/home/etip/datasets/plans/realistic_v1/t0_v3_r7/seed005_medium_workload_plan.json	f6384da35ceca0d628b2251e69a62470dfb35c182359f3d58d817ce0274ab06c	domain0448,domain0273,domain0235,domain0105	train	151.0.7922.34	1.62.0	0bcf2d260b8fa538b1f1e9cf1ac91c4975c18adf	9139aaa16f04c837272fa966729118f76d4f3693f2a2a1b60c63dadc14d38756
